ID	Symbol	HR	p_value	adj_p_value
202324_s_at	ACBD3	0.9715891914465	5.27258802601598e-08	0.00117489078983714
222077_s_at	RACGAP1	0.675884360011974	1.33649341978029e-07	0.00148905414364821
204641_at	NEK2	0.551402827624703	3.15451637199824e-07	0.00175730220793092
219312_s_at	ZBTB10	0.730573161360528	2.37492486310959e-07	0.00175730220793092
209380_s_at	ABCC5	0.649999850018228	7.08132039082007e-07	0.00315586124537287
218252_at	CKAP2	0.892355509997375	1.04152832222437e-06	0.0038680626006876
206188_at	ZNF623	0.861824215125974	1.56676855053095e-06	0.00397419229313205
212474_at	AVL9	0.94765308067952	1.60515777221148e-06	0.00397419229313205
218701_at	LACTB2	0.608668121110731	1.54570730758006e-06	0.00397419229313205
222039_at	KIF18B	0.661025594930254	2.27301847540124e-06	0.00506496706873658
205812_s_at	NA	0.908858765297414	2.54141643181784e-06	0.00514821657729063
206896_s_at	GNG7	-1.64929280634816	2.95590440020472e-06	0.00548886814581348
201664_at	SMC4	0.706885094591858	3.53744654273068e-06	0.00563035152226199
207165_at	HMMR	0.573972238912171	3.29141441574961e-06	0.00563035152226199
221306_at	GPR27	-1.99074509770138	4.01979187296828e-06	0.00597153482035682
202620_s_at	PLOD2	0.407171673853041	4.60659754574951e-06	0.00611796212650833
210849_s_at	VPS41	1.22403351820895	4.66747548133741e-06	0.00611796212650833
202824_s_at	ELOC	0.680212292031304	8.03604016678367e-06	0.00716268332145762
204009_s_at	KRAS	0.753741786706569	6.4194991121218e-06	0.00716268332145762
205682_x_at	APOM	-1.89801354875762	7.74627454655628e-06	0.00716268332145762
208905_at	CYCS	0.914870808601991	6.53052928169367e-06	0.00716268332145762
213391_at	DPY19L4	0.711632911395476	7.29638695272493e-06	0.00716268332145762
214660_at	ITGA1	3.39967338001622	6.51111092441499e-06	0.00716268332145762
218039_at	NUSAP1	0.501865022441564	6.97017565356869e-06	0.00716268332145762
218549_s_at	RMDN1	0.640387815088994	7.53244424287498e-06	0.00716268332145762
202733_at	P4HA2	0.733067604646623	9.18130067051453e-06	0.00786872780157982
201769_at	CLINT1	1.05883538980638	1.09660568742596e-05	0.00842943862654943
204092_s_at	AURKA	0.669066095032841	1.13487034419281e-05	0.00842943862654943
210050_at	TPI1	1.34415494008782	1.11547709650429e-05	0.00842943862654943
211546_x_at	SNCA	-1.81433605510982	1.12787035986298e-05	0.00842943862654943
201817_at	UBE3C	0.804724587736801	1.31492452582159e-05	0.00870430799353887
202666_s_at	ACTL6A	0.66272515768906	1.38166864741212e-05	0.00870430799353887
208757_at	TMED9	0.704489579576532	1.38955505972356e-05	0.00870430799353887
213226_at	CCNA2	0.617499655455463	1.35947283753222e-05	0.00870430799353887
218988_at	SLC35E3	0.851617796809307	1.31404995145931e-05	0.00870430799353887
219493_at	SHCBP1	0.715923704453474	1.40625179629044e-05	0.00870430799353887
201369_s_at	ZFP36L2	-0.469360820639954	1.44675021752295e-05	0.00871295543163891
201091_s_at	CBX3	0.772430204914808	2.02362605005681e-05	0.0101800358482539
203184_at	FBN2	0.398417234829482	2.18008331393376e-05	0.0101800358482539
203218_at	MAPK9	0.796154209421249	1.83840351219259e-05	0.0101800358482539
205034_at	CCNE2	0.401008596511571	1.95640543924862e-05	0.0101800358482539
206353_at	COX6A2	-1.3920917116699	2.19289018855715e-05	0.0101800358482539
206800_at	MTHFR	-2.02592207977453	2.13659773548667e-05	0.0101800358482539
208079_s_at	AURKA	0.43231106011909	2.05580256238475e-05	0.0101800358482539
209172_s_at	CENPF	0.658893160120589	2.16258799660145e-05	0.0101800358482539
211379_x_at	B3GALNT1	0.771456980913592	1.93330275163659e-05	0.0101800358482539
212149_at	EFR3A	0.716936761179269	2.0362661022819e-05	0.0101800358482539
38158_at	ESPL1	0.963823163871166	1.75590284720943e-05	0.0101800358482539
209273_s_at	ISCA1	1.0611908934902	2.30493857877532e-05	0.0104818257858879
206205_at	MPHOSPH9	1.57735099896863	2.48956267710963e-05	0.0110949850268068
202647_s_at	NRAS	0.675008209388358	2.97774029526253e-05	0.0118487476784527
203878_s_at	MMP11	0.381753840652486	2.87990548819141e-05	0.0118487476784527
213119_at	SLC36A1	1.26083676658378	2.74718225777689e-05	0.0118487476784527
213424_at	KIAA0895	0.924043735276285	2.92622852261104e-05	0.0118487476784527
217737_x_at	RTF2	1.25751236528495	2.77938017649667e-05	0.0118487476784527
221922_at	GPSM2	0.531728667009655	2.83662813843684e-05	0.0118487476784527
212974_at	DENND3	-1.62861996369723	3.0562554024554e-05	0.0119478138829673
203743_s_at	TDG	0.675740067619806	3.38778645216311e-05	0.0127712631677087
203764_at	DLGAP5	0.484732508458986	3.43945309466149e-05	0.0127712631677087
206939_at	DCC	-1.72814869236266	3.56683406825862e-05	0.0127712631677087
210401_at	P2RX1	-1.97816930088726	3.53341058172135e-05	0.0127712631677087
211619_s_at	NA	-2.13190000576224	3.61077763122403e-05	0.0127712631677087
218478_s_at	ZCCHC8	0.996253335457654	3.44669703795701e-05	0.0127712631677087
220743_at	C16orf72	-1.89862276974302	3.86490105799462e-05	0.0134564984805147
206316_s_at	KNTC1	0.966870146331496	4.2075867462194e-05	0.014424254687078
204540_at	EEF1A2	0.259218986462731	4.40594287605752e-05	0.0147109066270329
205731_s_at	NCOA2	-1.95751794631291	4.45559099915875e-05	0.0147109066270329
215035_at	IGLV6-57	-2.14760617233236	4.56780672688134e-05	0.0147109066270329
219141_s_at	AMBRA1	-2.07898021149085	4.59494929135185e-05	0.0147109066270329
